id	Long	Lat
Aralia warmingiana 	-40.522778	-13.316111
Aralia warmingiana 	-40.5	-12.419444
Aralia warmingiana 	-42.412222	-13.297222
Aralia warmingiana 	-42.245556	-13.297222
Aralia warmingiana 	-42.178611	-12.433333
Aralia warmingiana 	-44.32	-13.586111
Aralia warmingiana 	-39.1839	-12.1617
Aralia warmingiana 	-39.183889	-12.161667
Aralia warmingiana 	-41.501667	-12.327222
Aralia warmingiana 	-44.968889	-12.376944
Aralia warmingiana 	-39.1839	-12.1617
Aralia warmingiana 	-44.32	-13.586111
Aralia warmingiana 	-42.245556	-13.297222
Aralia warmingiana 	-39.183889	-12.161667
Aralia warmingiana 	-44.968889	-12.376944
Aralia warmingiana 	-41.501667	-12.327222
Aralia warmingiana 	-40.5	-12.419444
Aralia warmingiana 	-40.522778	-13.316111
Aralia warmingiana 	-39.8536	-10.6917
Aralia warmingiana 	-41.1561	-11.55
Aralia warmingiana 	-39.00647222	-7.710333333
Aralia warmingiana 	-39.00644444	-7.710333333
Aralia warmingiana 	-39.006472	-7.710333
Aralia warmingiana 	-39.006444	-7.710333
Aralia warmingiana 	-39.006472	-7.710333
Aralia warmingiana 	-39.006444	-7.710333
Aralia warmingiana 	-40.304167	-20.276667
Aralia warmingiana 	-40.304167	-20.276667
Aralia warmingiana 	-44.0825	-18.644444
Aralia warmingiana 	-44.0825	-18.644444
Aralia warmingiana 	-42.826944	-15.305833
Aralia warmingiana 	-44.183333	-18.283333
Aralia warmingiana 	-46.993611	-18.944722
Aralia warmingiana 	-47	-16
Aralia warmingiana 	-47	-16
Aralia warmingiana 	-47	-16
Aralia warmingiana 	-47	-16
Aralia warmingiana 	-46.993611	-18.944722
Aralia warmingiana 	-44.0825	-18.644444
Aralia warmingiana 	-44.0825	-18.644444
Aralia warmingiana 	-47	-16
Aralia warmingiana 	-47	-16
Aralia warmingiana 	-44.183333	-18.283333
Aralia warmingiana 	-43.8897	-19.6272
Aralia warmingiana 	-43.9233	-19.6919
Aralia warmingiana 	-46.9925	-18.9439
Aralia warmingiana 	-54205	-26.91638
Aralia warmingiana 	-56.696111	-21.283583
Aralia warmingiana 	-55	-25.5
Aralia warmingiana 	-55	-24.33333
Aralia warmingiana 	-36.94948611	-8.249411111
Aralia warmingiana 	-37.11297222	-7.846833333
Aralia warmingiana 	-36.949486	-8.249411
Aralia warmingiana 	-37.112972	-7.846833
Aralia warmingiana 	-38.508611	-7.562222
Aralia warmingiana 	-51.0283	-22.8506
Aralia warmingiana 	-51.6597	-25.6956
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-51.0364	-23.0586
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-51.0283	-22.8506
Aralia warmingiana 	-51.1906	-22.9967
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-51.1906	-22.9967
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-38.2983	-7.99194
Aralia warmingiana 	-53.866389	-25.296833
Aralia warmingiana 	-53.866389	-25.296833
Aralia warmingiana 	-51.1628	-23.3103
Aralia warmingiana 	-52.3831	-24.0456
Aralia warmingiana 	-53.3944	-27.3592
Aralia warmingiana 	-53.3944	-27.3592
Aralia warmingiana 	-53.9975	-27.474722
Aralia warmingiana 	-53.9975	-27.474722
Aralia warmingiana 	-53.8608	-27.2647
Aralia warmingiana 	-49.516667	-19.916667
Aralia warmingiana 	-49.516667	-19.916667
Aralia warmingiana 	-53.3775	-26.471944
Aralia warmingiana 	-53.3775	-26.471944
Aralia warmingiana 	-60.75	-17.83333
Aralia warmingiana 	-47.55	-21.47
Cavanillesia umbellata	-70.26083	-3.81692
Cavanillesia umbellata	-70.54944	-3.76115
Cavanillesia umbellata	-70.25	-3.7
Cavanillesia umbellata	-70.25	-3.733333
Cavanillesia umbellata	-70.25	-3.7
Cavanillesia umbellata	-78.63333	-4.5
Cavanillesia umbellata	-43.2206	-12.1853
Cavanillesia umbellata	-39.046944	-12.221389
Cavanillesia umbellata	-41.063611	-13.929167
Cavanillesia umbellata	-41.535278	-14.162222
Cavanillesia umbellata	-41.168333	-14.6375
Cavanillesia umbellata	-40.521111	-12.417222
Cavanillesia umbellata	-40.5211	-12.4172
Cavanillesia umbellata	-41.577778	-12.350278
Cavanillesia umbellata	-39.7075	-14.181389
Cavanillesia umbellata	-42.247222	-13.296389
Cavanillesia umbellata	-44.32	-13.586111
Cavanillesia umbellata	-39.183889	-12.161667
Cavanillesia umbellata	-44.968889	-12.376944
Cavanillesia umbellata	-44.968889	-12.376944
Cavanillesia umbellata	-44.666667	-14.381389
Cavanillesia umbellata	-42.225556	-13.290833
Cavanillesia umbellata	-44.666667	-14.381389
Cavanillesia umbellata	-44.548611	-14.274444
Cavanillesia umbellata	-44.953333	-12.378889
Cavanillesia umbellata	-44.178889	-13.421389
Cavanillesia umbellata	-39.5286	-15.1581
Cavanillesia umbellata	-39.528611	-15.158056
Cavanillesia umbellata	-39.183333	-12.166667
Cavanillesia umbellata	-39.083333	-12.533333
Cavanillesia umbellata	-39.083333	-12.533333
Cavanillesia umbellata	-39.083333	-12.533333
Cavanillesia umbellata	-39.083333	-12.533333
Cavanillesia umbellata	-39.53381827	-15.95453198
Cavanillesia umbellata	-39.49521602	-15.19541575
Cavanillesia umbellata	-40.521111	-12.417222
Cavanillesia umbellata	-40.5211	-12.4172
Cavanillesia umbellata	-42.247222	-13.296389
Cavanillesia umbellata	-44.32	-13.586111
Cavanillesia umbellata	-39.183889	-12.161667
Cavanillesia umbellata	-44.968889	-12.376944
Cavanillesia umbellata	-44.968889	-12.376944
Cavanillesia umbellata	-44.666667	-14.381389
Cavanillesia umbellata	-42.225556	-13.290833
Cavanillesia umbellata	-44.548611	-14.274444
Cavanillesia umbellata	-44.953333	-12.378889
Cavanillesia umbellata	-44.178889	-13.421389
Cavanillesia umbellata	-39.5286	-15.1581
Cavanillesia umbellata	-39.528611	-15.158056
Cavanillesia umbellata	-39.183333	-12.166667
Cavanillesia umbellata	-39.083333	-12.533333
Cavanillesia umbellata	-39.083333	-12.533333
Cavanillesia umbellata	-39.53381827	-15.95453198
Cavanillesia umbellata	-39.49521602	-15.19541575
Cavanillesia umbellata	-39.5286111	-15.1580556
Cavanillesia umbellata	-44.666667	-14.381389
Cavanillesia umbellata	-41.577778	-12.350278
Cavanillesia umbellata	-41.577778	-12.350278
Cavanillesia umbellata	-38.966667	-12.266667
Cavanillesia umbellata	-39.5286	-15.1581
Cavanillesia umbellata	-40.5211	-12.4172
Cavanillesia umbellata	-39.4953	-15.1917
Cavanillesia umbellata	-39.5339	-15.9508
Cavanillesia umbellata	-44.32	-13.586111
Cavanillesia umbellata	-42.247222	-13.296389
Cavanillesia umbellata	-39.183889	-12.161667
